OWL.Code;Class;Name;Comments;Family;HMDB;KEGG
AA02;Amino acids;Glu;Glutamic Acid;AA;HMDB00148;C00025
AA03;Amino acids;Gly;Glycine;AA;HMDB00123;C00037
AA04;Amino acids;Ala;Alanine;AA;HMDB00161;C00041
AA05;Amino acids;Ser;Serine;AA;HMDB00187;C00065
AA06;Amino acids;Pro;Proline;AA;HMDB00162;C00148
AA07;Amino acids;Val;Valine;AA;HMDB00883;C00183
AA08;Amino acids;Thr;Threonine;AA;HMDB00167;C00188
AA09;Amino acids;Tau;Taurine;AA;HMDB00251;C00245
AA10;Amino acids;Ile;Isoleucine;AA;HMDB00172;C00407
AA11;Amino acids;Leu;Leucine;AA;HMDB00687;C00123
AA12;Amino acids;Asn;Asparagine;AA;HMDB00168;C00152
AA13;Amino acids;Asp;Aspartic Acid;AA;HMDB00191;C00049
AA14;Amino acids;Gln;Glutamine;AA;HMDB00641;C00064
AA15;Amino acids;Lys;Lysine;AA;HMDB00182;C00047
AA16;Amino acids;Met;Methionine;AA;HMDB00696;C00073
AA17;Amino acids;His;Histidine;AA;HMDB00177;C00135
AA18;Amino acids;Phe;Phenylalanine;AA;HMDB00159;C00079
AA19;Amino acids;Arg;Arginine;AA;HMDB00517;C00062
AA20;Amino acids;Tyr;Tyrosine;AA;HMDB00158;C00082
AA21;Amino acids;Trp;Tryptophan;AA;HMDB00929;C00078
AA22;Amino Acids and Derivatives;Sarcosine;Sarcosine;AA;HMDB00271;C00213
AA23;Amino acid derivatives;Cys;Cystine;AA;HMDB00192;C00491
AA25;Peptides;Gly-DL-Phe;;AA;HMDB28848;
AA26;Sulfinic Acids and Derivatives;Hypotaurine;;AA;HMDB00965;C00519
AA27;Amino Acids and Derivatives;Gamma-Aminobutyric acid;;AA;HMDB00112;C00334
AA28;Amino Acids and Derivatives;DL-2-Aminoadipic acid;;AA;HMDB00510;C00956
AA29;Amino Acids and Derivatives;Kynurenine;;AA;HMDB00684;C00328
AA34;Amino Acids and Derivatives;L-Citrulline;;AA;HMDB00904;C00327
AA36;Amino Acids and Derivatives;L-Homoserine;;AA;HMDB00719;C00263
AA44;AA derivative;Cys-Cys;Cystine-double charge;AA;HMDB00192;C00491
AA45;Amino Acids and Derivatives;Cystathionine;;AA;HMDB00099;C02291
AA47;Amino Acids and Derivatives;1-Methyl-L-histidine  ;;AA;HMDB00001;C01152
